5000 5000
999999999 1 1
999999999 1 2
999999999 1 3
999999999 1 4
999999999 1 5
999999999 1 6
999999999 1 7
999999999 1 8
999999999 1 9
999999999 1 10
999999999 1 11
999999999 1 12
999999999 1 13
999999999 1 14
999999999 1 15
999999999 1 16
999999999 1 17
999999999 1 18
999999999 1 19
999999999 1 20
999999999 1 21
999999999 1 22
999999999 1 23
999999999 1 24
999999999 1 25
999999999 1 26
999999999 1 27
999999999 1 28
999999999 1 29
999999999 1 30
999999999 1 31
999999999 1 32
999999999 1 33
999999999 1 34
999999999 1 35
999999999 1 36
999999999 1 37
999999999 1 38
999999999 1 39
999999999 1 40
999999999 1 41
999999999 1 42
999999999 1 43
999999999 1 44
999999999 1 45
999999999 1 46
999999999 1 47
999999999 1 48
999999999 1 49
999999999 1 50
999999999 1 51
999999999 1 52
999999999 1 53
999999999 1 54
999999999 1 55
999999999 1 56
999999999 1 57
999999999 1 58
999999999 1 59
999999999 1 60
999999999 1 61
999999999 1 62
999999999 1 63
999999999 1 64
999999999 1 65
999999999 1 66
999999999 1 67
999999999 1 68
999999999 1 69
999999999 1 70
999999999 1 71
999999999 1 72
999999999 1 73
999999999 1 74
999999999 1 75
999999999 1 76
999999999 1 77
999999999 1 78
999999999 1 79
999999999 1 80
999999999 1 81
999999999 1 82
999999999 1 83
999999999 1 84
999999999 1 85
999999999 1 86
999999999 1 87
999999999 1 88
999999999 1 89
999999999 1 90
999999999 1 91
999999999 1 92
999999999 1 93
999999999 1 94
999999999 1 95
999999999 1 96
999999999 1 97
999999999 1 98
999999999 1 99
999999999 1 100
999999999 1 101
999999999 1 102
999999999 1 103
999999999 1 104
999999999 1 105
999999999 1 106
999999999 1 107
999999999 1 108
999999999 1 109
999999999 1 110
999999999 1 111
999999999 1 112
999999999 1 113
999999999 1 114
999999999 1 115
999999999 1 116
999999999 1 117
999999999 1 118
999999999 1 119
999999999 1 120
999999999 1 121
999999999 1 122
999999999 1 123
999999999 1 124
999999999 1 125
999999999 1 126
999999999 1 127
999999999 1 128
999999999 1 129
999999999 1 130
999999999 1 131
999999999 1 132
999999999 1 133
999999999 1 134
999999999 1 135
999999999 1 136
999999999 1 137
999999999 1 138
999999999 1 139
999999999 1 140
999999999 1 141
999999999 1 142
999999999 1 143
999999999 1 144
999999999 1 145
999999999 1 146
999999999 1 147
999999999 1 148
999999999 1 149
999999999 1 150
999999999 1 151
999999999 1 152
999999999 1 153
999999999 1 154
999999999 1 155
999999999 1 156
999999999 1 157
999999999 1 158
999999999 1 159
999999999 1 160
999999999 1 161
999999999 1 162
999999999 1 163
999999999 1 164
999999999 1 165
